"Skolaar","Parent.Account.Name","Account.Name","Skolastig","Active.classes","Submissions","Similarity.Reports","X0..Similarity","X1.24..Similarity","X25.49..Similarity","X50.74..Similarity","X75.100..Similarity","Submissions.with.Feedback","Submissions.Scored.with.a.Rubric","Total.Feedback..Comments.and.Marks.","Summary.Text.Comments","Voice.Comments","QuickMarks","Bubble.Comments","Inline.Text.Comments","ETS.e.rater.Marks","Strikethrough.Marks","Grading.Form.Marks","Peer.Reviews.Created"
"2013-2014","Hólabrekkuskóli","Hólabrekkuskóli","Adrir",2,102,101,61,36,1,0,3,47,43,38,22,4,2,10,0,0,0,0,0
"2014-2015","Hólabrekkuskóli","Hólabrekkuskóli","Adrir",6,346,341,282,37,8,4,10,246,242,306,51,0,16,225,14,0,0,0,0
"2015-2016","Hólabrekkuskóli","Hólabrekkuskóli","Adrir",8,387,375,259,72,10,17,17,180,177,120,7,0,6,107,0,0,0,0,0
"2016-2017","Hólabrekkuskóli","Hólabrekkuskóli","Adrir",2,140,189,131,51,2,3,2,107,105,45,13,0,0,32,0,0,0,0,0
"2017-2018","Keilir - Center of Excellence","Keilir - Center of Excellence","Adrir",6,753,838,238,431,95,38,36,408,317,750,291,0,64,352,18,0,25,0,0
"2018-2019","Keilir - Center of Excellence","Keilir - Center of Excellence","Adrir",4,249,335,63,240,19,8,5,135,52,733,61,0,281,191,167,6,27,0,0
"2019-2020","Keilir - Center of Excellence","Keilir - Center of Excellence","Adrir",3,153,250,85,97,43,16,9,42,0,147,40,0,38,63,0,0,6,0,0
"2019-2020","Keilir - Center of Excellence","menntaskolinn","Adrir",4,170,168,85,74,8,0,1,37,35,448,1,0,0,240,207,0,0,0,0
"2018-2019","Miðstöð símenntunar á Suðurnesjum","Miðstöð símenntunar á Suðurnesjum","Adrir",1,13,13,1,5,2,4,1,2,0,11,0,0,11,0,0,0,0,0,0
"2019-2020","Miðstöð símenntunar á Suðurnesjum","Miðstöð símenntunar á Suðurnesjum","Adrir",3,285,204,26,121,37,10,8,141,0,143,140,0,0,2,1,0,0,0,0
"2017-2018","Borgarholtsskóli","Borgarholtsskóli","Framhaldsskólar",1,11,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Borgarholtsskóli","Borgarholtsskóli","Framhaldsskólar",34,1101,1216,458,579,126,27,26,413,0,1977,325,0,443,649,467,0,93,0,0
"2019-2020","Borgarholtsskóli","Borgarholtsskóli","Framhaldsskólar",45,1587,1585,406,799,217,103,45,455,8,1906,366,3,325,842,354,0,16,0,0
