"Skolaar","Skolastig","Parent Account Name","Account Name","Active Instructors","Submissions","Similarity Reports","0% Similarity","1-24% Similarity","25-49% Similarity","50-74% Similarity","75-100% Similarity","Total Feedback (Comments and Marks)","Summary Text Comments","Voice Comments","QuickMarks","Bubble Comments","Inline Text Comments","ETS e-rater Marks","Strikethrough Marks","Grading Form Marks","Peer Reviews Created"
"2014-2015","Háskólar","Háskóli Íslands","Árnastofnun",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-2012","Háskólar","Háskólinn á Bifröst","Bifröst - kennslukerfi",4,19,18,3,11,2,1,1,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólar","Háskólinn á Bifröst","Bifröst - kennslukerfi",7,88,86,28,22,31,5,0,1,0,0,1,0,0,0,0,0,0
"2013-2014","Háskólar","Háskólinn á Bifröst","Bifröst - kennslukerfi",5,133,132,16,64,13,26,12,201,1,0,170,30,0,0,0,0,0
"2014-2015","Háskólar","Háskólinn á Bifröst","Bifröst - kennslukerfi",8,524,531,113,272,41,17,32,2742,119,0,1871,725,0,0,27,0,0
"2015-2016","Háskólar","Háskólinn á Bifröst","Bifröst - kennslukerfi",9,538,543,11,388,89,19,31,4,0,0,1,3,0,0,0,0,0
"2016-2017","Háskólar","Háskólinn á Bifröst","Bifröst - kennslukerfi",10,758,1361,108,1016,145,25,40,5,0,0,3,2,0,0,0,0,0
"2017-2018","Háskólar","Háskólinn á Bifröst","Bifröst - kennslukerfi",10,683,975,70,699,133,26,43,951,27,0,190,28,12,668,26,0,0
"2018-2019","Háskólar","Háskólinn á Bifröst","Bifröst - kennslukerfi",7,811,927,26,716,158,18,7,0,0,0,0,0,0,0,0,0,0
"2019-2020","Háskólar","Háskólinn á Bifröst","Bifröst - kennslukerfi",6,885,882,31,652,174,11,6,0,0,0,0,0,0,0,0,0,0
"2017-2018","Framhaldsskólar","Borgarholtsskóli","Borgarholtsskóli",1,11,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Framhaldsskólar","Borgarholtsskóli","Borgarholtsskóli",19,1156,1282,501,601,120,27,31,3339,450,1,562,972,1130,0,224,0,0
"2019-2020","Framhaldsskólar","Borgarholtsskóli","Borgarholtsskóli",19,1582,1581,398,799,224,101,43,2252,425,3,325,1116,367,0,16,0,0
"2011-2012","Háskólar","Háskóli Íslands","Félagsvísindasvið",2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólar","Háskóli Íslands","Félagsvísindasvið",22,1280,1231,158,867,153,35,10,526,42,3,278,202,1,0,0,0,0
"2013-2014","Háskólar","Háskóli Íslands","Félagsvísindasvið",30,2034,1982,119,1515,147,54,40,1449,101,0,398,799,151,0,0,0,0
"2014-2015","Háskólar","Háskóli Íslands","Félagsvísindasvið",28,2883,2758,178,2112,325,48,78,4153,129,0,1168,2844,11,0,1,0,108
"2015-2016","Háskólar","Háskóli Íslands","Félagsvísindasvið",32,2532,2386,145,1880,234,39,68,6865,308,0,2627,3909,20,0,1,0,3
"2016-2017","Háskólar","Háskóli Íslands","Félagsvísindasvið",28,3237,4536,157,3573,513,80,158,1992,376,0,305,1216,0,0,26,69,0
"2017-2018","Háskólar","Háskóli Íslands","Félagsvísindasvið",27,3355,4555,215,3470,651,54,104,1488,326,0,6,1076,0,0,5,75,0
"2018-2019","Háskólar","Háskóli Íslands","Félagsvísindasvið",19,2787,3918,258,2818,594,68,154,1608,214,0,252,785,354,0,3,0,0
"2019-2020","Háskólar","Háskóli Íslands","Félagsvísindasvið",12,1444,2385,4,1813,521,22,23,144,50,0,2,5,87,0,0,0,0
"2017-2018","Framhaldsskólar","Fjölbrautaskóli Snæfellinga","Fjölbrautaskóli Snæfellinga",3,69,69,29,38,2,0,0,3,2,0,0,1,0,0,0,0,0
"2018-2019","Framhaldsskólar","Fjölbrautaskóli Snæfellinga","Fjölbrautaskóli Snæfellinga",17,6525,5628,892,2085,1346,903,346,19307,2458,7,4985,6358,316,0,777,4406,0
"2019-2020","Framhaldsskólar","Fjölbrautaskóli Snæfellinga","Fjölbrautaskóli Snæfellinga",23,9024,7262,971,2599,1931,1294,417,19998,3480,19,3569,8886,1268,0,982,1794,0
"2017-2018","Framhaldsskólar","Fjölbrautaskóli Suðurlands","Fjölbrautaskóli Suðurlands",5,83,100,25,55,12,2,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Framhaldsskólar","Fjölbrautaskóli Suðurlands","Fjölbrautaskóli Suðurlands",17,2670,3128,1071,1516,309,144,43,644,155,0,348,86,45,0,10,0,0
"2019-2020","Framhaldsskólar","Fjölbrautaskóli Suðurlands","Fjölbrautaskóli Suðurlands",28,4698,4727,1128,1999,824,484,255,124,57,0,32,27,2,0,6,0,0
"2017-2018","Framhaldsskólar","Fjölbrautaskóli Suðurnesja","Fjölbrautaskóli Suðurnesja",10,184,239,36,145,30,7,17,222,0,0,4,42,111,0,65,0,0
"2018-2019","Framhaldsskólar","Fjölbrautaskóli Suðurnesja","Fjölbrautaskóli Suðurnesja",22,3783,5689,361,4460,532,129,184,5223,46,0,812,1426,2452,0,487,0,0
"2019-2020","Framhaldsskólar","Fjölbrautaskóli Suðurnesja","Fjölbrautaskóli Suðurnesja",15,1928,2226,358,989,423,233,197,2066,2,0,0,165,1634,0,265,0,0
"2018-2019","Framhaldsskólar","Fjölbrautaskóli Vesturlands","Fjölbrautaskóli Vesturlands",9,494,635,141,385,70,25,8,1803,168,0,623,995,17,0,0,0,1
