"Skolaar","Parent Account Name","Account Name","Integration","Active Classes","Active Instructors","Submissions","Similarity Reports","0% Similarity","1-24% Similarity","25-49% Similarity","50-74% Similarity","75-100% Similarity","Submissions with Feedback","Submissions Scored with a Rubric","Total Feedback (Comments and Marks)","Summary Text Comments","Voice Comments","QuickMarks","Bubble Comments","Inline Text Comments","ETS e-rater Marks","Strikethrough Marks","Grading Form Marks","Peer Reviews Created","Skolastig"
"2017-2018","Háskólinn á Bifröst","Bifröst - kennslukerfi","LTI API",10,2,8,8,3,5,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,"Háskólar"
"2018-2019","Háskólinn á Bifröst","Bifröst - kennslukerfi","LTI API",9,7,35,35,6,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2017-2018","Borgarholtsskóli","Borgarholtsskóli","LTI API",2,1,11,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Borgarholtsskóli","Borgarholtsskóli","LTI API",123,74,1188,1308,491,623,134,28,30,515,11,2779,397,1,556,889,802,0,134,0,0,"Framhaldsskólar"
"2019-2020","Borgarholtsskóli","Borgarholtsskóli","LTI API",153,85,1683,1682,439,856,222,105,44,570,8,2735,443,3,352,1271,635,0,31,0,0,"Framhaldsskólar"
"2017-2018","Fjölbrautaskóli Suðurlands","Fjölbrautaskóli Suðurlands","LTI API",4,3,106,123,39,56,20,2,0,1,0,1,1,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Fjölbrautaskóli Suðurlands","Fjölbrautaskóli Suðurlands","LTI API",167,85,2852,3327,1143,1601,341,153,45,195,0,797,174,0,444,106,54,0,19,0,0,"Framhaldsskólar"
"2019-2020","Fjölbrautaskóli Suðurlands","Fjölbrautaskóli Suðurlands","LTI API",228,120,4557,4588,1109,1910,792,493,248,98,13,149,82,0,32,27,2,0,6,0,0,"Framhaldsskólar"
"2018-2019","Fjölbrautaskóli Suðurnesja","Fjölbrautaskóli Suðurnesja","LTI API",15,5,145,145,79,55,9,1,1,38,0,301,0,0,0,21,234,0,46,0,0,"Framhaldsskólar"
"2019-2020","Fjölbrautaskóli Suðurnesja","Fjölbrautaskóli Suðurnesja","LTI API",92,42,1509,1792,343,964,244,110,117,60,53,56,5,0,3,17,30,0,1,0,0,"Framhaldsskólar"
"2018-2019","Fjölbrautaskóli Vesturlands","Fjölbrautaskóli Vesturlands","LTI API",67,41,510,635,120,395,76,27,10,345,34,1921,174,0,646,1084,17,0,0,0,1,"Framhaldsskólar"
"2019-2020","Fjölbrautaskóli Vesturlands","Fjölbrautaskóli Vesturlands","LTI API",97,63,929,1336,189,751,254,97,39,568,123,4796,296,0,1151,2665,681,0,3,0,0,"Framhaldsskólar"
"2018-2019","Fjölbrautaskólinn í Breiðholti","Fjölbrautaskólinn í Breiðholti","LTI API",15,9,139,139,33,87,19,0,0,63,0,720,50,0,0,666,0,0,4,0,0,"Framhaldsskólar"
"2019-2020","Fjölbrautaskólinn í Breiðholti","Fjölbrautaskólinn í Breiðholti","LTI API",104,50,796,802,65,635,73,18,10,205,0,1756,175,0,349,1232,0,0,0,0,0,"Framhaldsskólar"
"2016-2017","Fjölbrautaskólinn í Garðabæ","Fjölbrautaskólinn í Garðabæ","LTI API",674,130,3792,3762,1105,1424,627,408,157,1686,1103,8052,328,0,287,4488,1036,1833,80,0,0,"Framhaldsskólar"
"2017-2018","Fjölbrautaskólinn í Garðabæ","Fjölbrautaskólinn í Garðabæ","LTI API",543,155,7192,7185,2014,2832,1127,849,288,3644,1955,18204,798,0,2453,9876,876,4001,197,3,0,"Framhaldsskólar"
